variant,scenario,patient_id,controller_type,TIR,TBR,Time_below_54,Mean_glucose,CV,LBGI
SMPC no chance tightening,nocturnal,1,stochastic_mpc,97.91666666666666,2.083333333333333,0.0,122.36543578642717,20.161919560956882,0.740652809998648
SMPC no chance tightening,nocturnal,2,stochastic_mpc,65.97222222222221,4.513888888888888,0.0,151.24762525863161,27.15728397538269,0.8917611631797325
SMPC no chance tightening,nocturnal,3,stochastic_mpc,91.66666666666666,0.0,0.0,143.91214737937102,15.751923323305016,0.03313840317280284
SMPC no chance tightening,nocturnal,4,stochastic_mpc,86.80555555555556,5.902777777777778,0.0,121.74043455058803,29.300069503457088,1.3797710946375696
SMPC no chance tightening,nocturnal,5,stochastic_mpc,90.97222222222221,9.027777777777777,7.291666666666667,117.52990133081003,28.835578468061488,3.495332616788962
SMPC no chance tightening,nocturnal,6,stochastic_mpc,90.97222222222221,0.0,0.0,142.34744024017826,17.769218737174956,0.021400515352425365
SMPC no chance tightening,nocturnal,7,stochastic_mpc,87.5,0.0,0.0,145.00090551920246,21.778648999636957,0.1549799288823519
SMPC no chance tightening,nocturnal,8,stochastic_mpc,96.18055555555556,2.430555555555556,0.0,136.68622815220183,22.09367669700268,0.7237521306548701
SMPC no chance tightening,nocturnal,9,stochastic_mpc,89.58333333333334,10.069444444444445,7.291666666666667,111.45018498218813,30.434691618509373,4.46263827859741
SMPC no chance tightening,nocturnal,10,stochastic_mpc,94.09722222222221,5.902777777777778,0.0,126.26329903938797,24.253326303499307,1.0898273900735416
SMPC no chance tightening,nocturnal,11,stochastic_mpc,86.45833333333334,6.25,0.3472222222222222,129.62153229591615,27.429310271155167,1.3152443630704203
SMPC no chance tightening,nocturnal,12,stochastic_mpc,98.26388888888889,1.7361111111111112,0.0,123.46718803120217,15.522725829997924,0.42801729462794974
SMPC no chance tightening,nocturnal,13,stochastic_mpc,84.02777777777779,2.7777777777777777,0.0,140.6272560407759,26.216140537590135,0.7521162053964872
SMPC no chance tightening,nocturnal,14,stochastic_mpc,87.84722222222221,12.152777777777777,4.513888888888888,108.05159403262873,27.557053274195848,2.8150136080791164
SMPC no chance tightening,nocturnal,15,stochastic_mpc,94.44444444444444,0.0,0.0,129.9777422724343,20.962486286263534,0.36357370030827374
SMPC no chance tightening,nocturnal,16,stochastic_mpc,96.875,0.0,0.0,132.61387206616925,19.499188444913568,0.22135695129016375
SMPC no chance tightening,nocturnal,17,stochastic_mpc,74.30555555555556,0.0,0.0,151.7802972719953,22.237993317285945,0.18484824052692156
SMPC no chance tightening,nocturnal,18,stochastic_mpc,70.83333333333334,29.166666666666668,16.319444444444446,99.42999264248677,37.29798684374865,6.7763218671238175
SMPC no chance tightening,nocturnal,19,stochastic_mpc,85.06944444444444,6.25,0.0,129.51885340941175,27.194908702815017,1.2414752769152508
SMPC short horizon,nocturnal,0,stochastic_mpc,49.65277777777778,37.84722222222222,21.875,95.33722845335195,55.224907404540396,13.437190785294579
SMPC short horizon,nocturnal,1,stochastic_mpc,72.91666666666666,26.041666666666668,1.0416666666666665,97.12538584446003,35.213959357250104,4.3561781862705224
SMPC short horizon,nocturnal,2,stochastic_mpc,65.27777777777779,28.819444444444443,5.555555555555555,107.27109959494538,41.10793730065182,5.032088531043407
SMPC short horizon,nocturnal,3,stochastic_mpc,90.97222222222221,0.0,0.0,122.09611296238387,27.295918359874545,0.6913243339561252
SMPC short horizon,nocturnal,4,stochastic_mpc,47.22222222222222,48.26388888888889,19.444444444444446,89.8048234517281,47.70330529345519,9.310760668323887
SMPC short horizon,nocturnal,5,stochastic_mpc,48.95833333333333,38.88888888888889,19.444444444444446,90.46632275600898,56.97678175992842,16.564191028389473
SMPC short horizon,nocturnal,6,stochastic_mpc,93.75,0.0,0.0,124.03881043795678,24.576480766646185,0.5130622942404238
SMPC short horizon,nocturnal,7,stochastic_mpc,71.18055555555556,18.40277777777778,2.430555555555556,112.8429790491213,37.54397232232968,3.2661210709419093
SMPC short horizon,nocturnal,8,stochastic_mpc,89.23611111111111,10.76388888888889,2.7777777777777777,114.12787028150368,27.726081057061503,2.3265241504060046
SMPC short horizon,nocturnal,9,stochastic_mpc,66.31944444444444,28.125,4.166666666666666,96.43112065990265,38.90104646247799,5.124377069898334
SMPC short horizon,nocturnal,10,stochastic_mpc,68.05555555555556,26.38888888888889,17.01388888888889,97.68641306256546,41.438054334797805,7.399199575765356
SMPC short horizon,nocturnal,11,stochastic_mpc,86.80555555555556,10.069444444444445,0.0,109.87808417910526,30.51954768190529,2.2634216143666643
SMPC short horizon,nocturnal,12,stochastic_mpc,88.19444444444444,1.0416666666666665,0.0,115.48863565175267,30.99864311351419,1.0683875727995895
